Gene	signal_to_noise_ratio
ITGAE	-0.39729586421197816
FBXL6	-0.3972350271863417
MAGEB1	-0.3962654460349689
ERAL1	-0.39600837132880895
SNAI2	-0.39598817898664024
TAIP-2	-0.39558043560501616
HP	-0.3955138478415261
ITGB1BP1	-0.3953576001692879
214287_s_at	-0.39526230978988663
C9orf55	-0.3949972909158514
PVRL1	-0.39461664947121733
FLJ21272	-0.3945800346164703
217435_x_at	-0.39455936895300164
ASF1A	-0.39433503378764884
HDHD1A	-0.3941055225114288
216746_at	-0.3940634944542194
CYP2U1	-0.39376810821420416
TNFRSF8	-0.39369305970524454
MRP63	-0.3933934404998224
C9orf95	-0.3933272809996891
MIZF	-0.39320804186094455
ATP5O	-0.3919951464583269
COL11A1	-0.39182560902969754
MGC3265	-0.39159971017194056
213665_at	-0.39103300431081006
KIF4A	-0.3907376119427589
RPS26	-0.3906566829788371
CCNJ	-0.39047181130245884
LOC339448	-0.39009935177924837
CSF1R	-0.39006573445004217
ANAPC10	-0.3900483274224862
214312_at	-0.39000467145853285
SFRS7	-0.3899057719811966
NPTX2	-0.38928859176317887
CLECSF2	-0.38923868053966615
ME3	-0.3891630139080329
DDX49	-0.38830374957131303
215456_at	-0.38817189940786917
CTSG	-0.38766967130660845
DEXI	-0.3875696708743036
LIPT1	-0.387028475334599
LOC339290	-0.3870144128736448
209887_at	-0.386897417792538
NDUFB8	-0.3868253602831252
WIZ	-0.3857257789464391
RWDD1	-0.38562186093308315
WDR19	-0.38527983256434034
POMT2	-0.3851597592683589
NDUFB1	-0.3851077733131183
215304_at	-0.38493259388582396
C1orf8	-0.38444290987559543
216478_at	-0.38443487309009405
NARG2	-0.38437938434294283
GSTO1	-0.3842501422694631
RPS12	-0.38395900231430613
P2RY1	-0.3833955730302519
FLJ23451	-0.3828761210794237
GNA12	-0.3827567529248447
MC5R	-0.38219051559285977
FLJ10997	-0.38159573139774106
ZNF26	-0.38121766862567774
COMMD8	-0.3805976584672529
TRIM5	-0.38057531924692267
213162_at	-0.38017741417052053
C20orf11	-0.38001305582760503
ARHGAP11A	-0.37993143645983496
ETV1	-0.37972971612586015
ATP8B2	-0.3794112777185476
ARMC6	-0.3793215548893444
ARL4A	-0.3782076730364528
LYPLA1	-0.37798310251408185
HSA277841	-0.37777144719893857
THOC2	-0.377742239825308
CBFA2T3	-0.3772995069332789
QP-C	-0.37706197737470704
CCL22	-0.37674364099176616
HOXA5	-0.37671720502600103
CGI-12	-0.3765179469493962
NID2	-0.37627974716694984
ZNF614	-0.3761201494683647
FKSG44	-0.37519386300173324
FKRP	-0.37515433205342025
ZNF358	-0.37508411787166307
HLA-DMB	-0.3750607649771814
BACE2	-0.37494649308918093
RBX1	-0.37423234373809766
KIAA1024	-0.3739114678259905
MAGEA11	-0.3738770247767388
EMR2	-0.37386761048279465
LY9	-0.37383607453983814
CHD1	-0.3736329257541283
CSF1	-0.37332565829415354
TAF4B	-0.37277903974305726
C1orf37	-0.37245089883513993
SLC7A8	-0.37227630405756673
NDUFS5	-0.37223836675341165
IQGAP1	-0.3721163160902371
ELF2	-0.37203235247651245
DPM2	-0.3718006510147892
212436_at	-0.37084929422223795
C6orf25	-0.37030621836426436
THRAP1	-0.36954728548522714
LUC7L	-0.3694933087274873
222252_x_at	-0.3687315319151897
PRKRIR	-0.3685420599183404
BTBD7	-0.3685114294747158
CCRL1	-0.3684926948899478
VENTX2P1	-0.36822484249968823
RBPSUH	-0.3680764503728993
NUDT6	-0.36725999032056655
FKBP1B	-0.36699381800909286
215971_at	-0.3668494052723119
PRO1580	-0.36657677727771
TNIP3	-0.3665101509349719
222145_at	-0.3659884079718108
CLDN6	-0.36552996582550423
FAM45A /// FAM45B	-0.3653541597913592
STX17	-0.3652767799087144
MTL5	-0.36519102211704857
215284_at	-0.36386600544730996
215265_at	-0.3635970912842347
FLJ23091	-0.36315906008300264
RPA4	-0.3631342484284786
RNASE3	-0.36282155993000553
SEDL	-0.36265114325729025
D6S1101	-0.36249160826290766
FLJ10652	-0.36238099610725444
215307_at	-0.3623540304122607
ZCWCC1	-0.36208607240680246
DNAJB1	-0.36189597758867614
HEBP2	-0.36177290248368316
FAIM	-0.361379992732398
215149_at	-0.3612774848575056
VPS35	-0.36097491551529576
SPOP	-0.36081026714689546
GNG7	-0.360790757932453
MUM1	-0.3607596770970411
GATM	-0.36062907909836495
210679_x_at	-0.3603752039113235
PEX26	-0.36015258830407354
ST14	-0.3600506290161514
RPL11	-0.3599117517831503
EAP30	-0.3595260336824444
220856_x_at	-0.35936199313544653
PHYH	-0.35921122532651945
MTSS1	-0.3591501124199184
RALB	-0.3589759511662966
SNCAIP	-0.35892719384020305
214189_s_at	-0.3581947397638574
212738_at	-0.3581220603746361
217914_at	-0.35794353760211706
VEGFC	-0.3572221677419453
F2R	-0.35702927791124084
202625_at	-0.35657124795316386
TUBGCP5	-0.35560957482204825
OR2H1	-0.3553859613309973
213871_s_at	-0.355243418234962
KRT10	-0.3551199121773715
Cep72	-0.3548876852070501
TIMM8B	-0.3547103900001119
CRADD	-0.35460515780996055
OGDHL	-0.3543131365294081
216151_at	-0.354133616131412
ADCY7	-0.35385404050216335
HEXB	-0.35369600829427456
COL7A1	-0.35361953750952657
SCN3B	-0.3534429481265226
COX7C	-0.3534235449601119
CARHSP1	-0.35323896637537416
MYOZ3	-0.352537674987779
COX7B	-0.3525246622107336
C20orf19	-0.3525097579711468
215459_at	-0.35249534514049313
219848_s_at	-0.3519912057965467
AGRP	-0.35185957838121856
RFC4	-0.3515154179997082
214856_at	-0.35144697780393463
SPC18	-0.3508583191109425
ELA2A	-0.3505976026683661
FLJ21918	-0.3505413860978254
UQCR	-0.35044407711611403
C10orf110	-0.35007452441060916
C9orf156	-0.3500484420057873
ZNF132	-0.3500336221445252
208301_at	-0.34987309694968755
TSPY2 /// TSPY1	-0.3496870426886199
CKB	-0.3495097419483817
G10	-0.34900408945639644
SDS	-0.34898217948131366
11-Sep	-0.34896951122010833
NIF3L1BP1	-0.3487765919495808
PACE-1	-0.3487625018906178
C1orf41	-0.34872714864509596
C14orf147	-0.3485050655467985
LDHB	-0.34826933855482783
ATP5L	-0.3478756961654279
208540_x_at	-0.3477729908475811
CYP3A4	-0.347282923665278
FLJ20758	-0.347254362768471
ZNF593	-0.34716897993129653
TBCE	-0.34653955812717724
214747_at	-0.34613827120657603
GOLGA1	-0.34596496457334147
ZNF426	-0.34579701602991414
213662_at	-0.34546377503952114
BRD7	-0.3450786735640609
FLJ20364	-0.34501475277943255
DTNA	-0.34497290013947546
C6orf4	-0.34491453160567653
C9orf74	-0.34490390244717617
BLOC1S1	-0.3444802934786504
RAFTLIN	-0.3444348775233996
215944_at	-0.3439713932392337
208379_x_at	-0.3438948355296621
RGL1	-0.34387850163593753
LAX	-0.34297821331768596
CRK	-0.3425930930149354
CXCL13	-0.34258201543737643
ATP5I	-0.34247698267695614
DUSP11	-0.3421888302741405
RPL17	-0.34213581915910884
IFI30	-0.3419229674624674
213750_at	-0.3418433682629596
Bit1	-0.34182862094587624
KIAA0157	-0.34163381050895403
216709_at	-0.3408426506211989
221235_s_at	-0.3408006316353975
SULT1C1	-0.34070705453022954
OSBPL2	-0.3406383797218391
PMS2L2	-0.3404026859336502
TBC1D12	-0.34019793584447355
GRIK1	-0.33951466887561965
221382_at	-0.3394399109733443
INA	-0.3393265561725634
PACRG	-0.33910184014368505
PSMD14	-0.3389733272381322
MGC29898	-0.3389295903542664
CDKN2C	-0.33883752246575044
MTCP1	-0.3387680397508278
PNMA2	-0.3386026240132991
CLK4	-0.33844159071282415
202091_at	-0.33843165921219426
AQP3	-0.3382132601890753
FLJ12903	-0.3378317973506337
215343_at	-0.3375345597408529
SPAG4	-0.3375237156292997
TMSB10	-0.33752120071942293
GPA33	-0.33726025766784856
208232_x_at	-0.33720726942630935
C10orf70	-0.33653187499400566
TPST2	-0.3365095446129054
214029_at	-0.33625572374163404
C6orf210	-0.3357790936325691
BID	-0.3353144456010044
S100A6	-0.33494406570846136
C6	-0.3346975475761537
222066_at	-0.33433616398577637
LRP1B	-0.33429339084450715
SMC6L1	-0.33405065566137077
PLOD3	-0.33402050420314927
ZNF576	-0.3340131009907752
SEMA4D	-0.333988944550897
GLCE	-0.33394756143397414
LOC84549	-0.33361525607143677
ADARB2	-0.3335030171791963
FXYD7	-0.33344919210024315
214052_x_at	-0.33340828204194867
SSH1	-0.3332038177336439
FLJ10159	-0.3331120566883019
217253_at	-0.3330398963422618
SIP	-0.3327021642685373
ATP5S	-0.3324692553167303
TUBA2	-0.33246105535157083
CADPS2	-0.3324585289466384
DACH1	-0.33232017368303607
TP53I11	-0.3323110101750419
FLJ11184	-0.3319746949688175
MSH4	-0.33190700922517014
ZNF32	-0.33159410761389535
ZRF1	-0.331580357479632
MMD	-0.331504684121062
SNRPD2	-0.3308532515754638
LIMR	-0.3303241383137832
AKR1C4	-0.33004945681358355
POLS	-0.32994466398030914
